province,latitude,longitude,rainfall,soil_ph,crop,yield,year
Lampung,-4.9232,105.1717,1804,5.53,Rice,4.39,2023
West Nusa Tenggara,-8.9324,117.3482,2006,6.28,Corn,4.17,2020
Special Region of Yogyakarta,-7.8595,110.6771,2532,6.13,Corn,4.08,2018
West Java,-6.5563,106.6844,3066,5.25,Tea,1.96,2019
Bangka-Belitung Islands,-2.8971,107.8767,1994,5.64,Pepper,1.18,2021
South Sulawesi,-5.0419,120.0812,1978,5.64,Corn,3.92,2020
Papua,-4.0302,139.615,3762,5.62,Sago,11.18,2017
Riau,1.2063,101.3264,2585,5.4,Palm Oil,4.17,2018
Aceh,5.0033,96.5026,2532,5.11,Coffee,1.33,2024
North Maluku,1.6281,127.8245,2842,6.06,Nutmeg,1.02,2023
Papua,-1.955,137.6475,3577,5.56,Sago,11.7,2023
North Sulawesi,0.7003,124.2657,1976,6.55,Coconut,3.2,2019
Central Kalimantan,-2.5405,114.2826,3017,5.6,Rice,4.59,2018
Lampung,-4.5084,104.5323,2018,5.05,Rice,5.02,2017
Central Sulawesi,0.7543,120.2604,2356,6.16,Corn,4.43,2019
West Sulawesi,-3.4864,119.0419,2495,6.34,Coconut,3.44,2015
Bengkulu,-3.3471,102.4095,2138,5.45,Rice,4.56,2018
Jambi,-1.112,104.3706,2583,5.3,Rubber,0.93,2016
West Sumatra,-0.8359,101.3287,2594,5.75,Rice,4.49,2018
West Sumatra,-1.5005,101.0104,2719,5.09,Tea,2.09,2019
East Kalimantan,1.7325,116.888,2659,5.05,Palm Oil,4.09,2020
Central Kalimantan,-1.5878,114.5719,2901,5.13,Rice,4.66,2024
North Maluku,-0.3952,127.2048,2859,5.93,Nutmeg,1.03,2018
North Kalimantan,2.4053,115.4004,2681,5.5,Rice,4.81,2024
Jakarta Special Capital Region,-6.2676,106.8164,1516,5.67,Fruit,3.28,2019
West Kalimantan,0.8529,111.9458,3131,4.99,Rubber,1.01,2016
Riau,0.8431,101.0987,2567,6.62,Coconut,3.93,2015
Bangka-Belitung Islands,-1.9027,105.7632,2477,5.95,Pepper,1.0,2017
North Sulawesi,0.6682,123.7821,2551,5.78,Cashew,1.01,2019
Riau,0.6025,101.2101,2196,4.94,Palm Oil,3.52,2021
Special Region of Yogyakarta,-7.914,110.503,2709,6.43,Rice,5.08,2021
Jambi,-2.307,103.3928,2321,5.39,Coffee,1.44,2024
West Nusa Tenggara,-8.3423,118.1105,1793,6.0,Soybeans,2.3,2019
West Papua,-0.2139,130.5119,3713,5.82,Rice,4.23,2023
Riau,1.4464,100.5267,2678,4.53,Palm Oil,3.86,2024
West Java,-6.315,107.4148,3271,5.25,Rice,4.08,2023
Bali,-8.614,115.1828,2211,6.34,Rice,4.98,2022
Papua,-3.7085,137.3109,3401,4.98,Sago,11.86,2020
Bengkulu,-4.2644,102.7232,2319,5.5,Coffee,1.48,2017
Banten,-6.711,106.1469,1669,5.47,Rice,4.36,2021
North Sumatra,3.6068,98.3437,2587,5.14,Rubber,0.95,2020
North Kalimantan,2.5373,116.9497,2516,5.71,Rubber,0.79,2015
Central Java,-7.28,109.058,2634,5.57,Rice,4.6,2023
South Sulawesi,-2.9651,121.4262,2302,5.5,Cashew,0.86,2023
Papua,-4.572,136.2677,3640,6.27,Sweet Potato,15.97,2021
South Kalimantan,-2.9287,115.9095,2578,5.23,Palm Oil,3.15,2019
West Sumatra,0.3708,99.7999,2721,4.83,Tea,2.17,2023
Jambi,-1.1057,104.2883,2152,5.3,Rice,4.37,2016
East Kalimantan,2.0266,116.728,2884,5.66,Rice,4.58,2024
West Java,-6.9358,108.1347,3047,5.79,Rice,4.7,2021
Banten,-6.6627,105.9274,1863,6.52,Coconut,3.56,2016
Central Sulawesi,-1.2108,120.5111,2458,5.04,Cocoa,1.61,2020
Maluku,-2.8501,129.0175,3363,6.34,Coconut,3.21,2021
West Kalimantan,1.1807,109.1132,2961,5.39,Rubber,0.92,2018
West Nusa Tenggara,-8.7293,118.5422,1565,6.04,Corn,3.58,2024
Gorontalo,0.7023,123.0692,2531,6.2,Soybeans,2.24,2016
West Nusa Tenggara,-8.5252,118.5917,1952,5.92,Corn,3.96,2024
Papua,-8.3218,138.3524,3764,6.05,Cassava,8.11,2016
South Sumatra,-2.9546,103.253,2090,4.62,Palm Oil,3.72,2023
South Kalimantan,-1.8134,115.5172,2722,4.95,Rubber,0.89,2018
Lampung,-5.5001,105.3643,1984,5.6,Coffee,1.49,2020
North Kalimantan,2.4381,115.3051,2740,5.84,Rice,4.61,2023
Riau Islands,-0.3845,104.4942,2502,6.79,Coconut,4.21,2018
Jambi,-1.8987,101.5575,2317,6.17,Coffee,1.48,2023
Special Region of Yogyakarta,-7.7613,110.2993,2822,5.43,Rice,5.1,2021
Banten,-6.652,105.821,1765,5.59,Rice,4.72,2021
Bangka-Belitung Islands,-3.1422,107.7447,2025,5.56,Rice,4.87,2023
South Sumatra,-4.6955,103.8473,2294,5.03,Palm Oil,4.11,2019
Central Java,-7.4982,110.588,2630,5.29,Rice,4.51,2016
Special Region of Yogyakarta,-8.0794,110.5088,2601,5.93,Rice,4.52,2023
Central Java,-7.2487,110.9858,2830,5.29,Rice,4.44,2024
North Sumatra,0.7654,99.506,2754,4.92,Palm Oil,4.15,2024
North Sumatra,2.6399,100.1587,2623,5.1,Palm Oil,4.08,2019
East Java,-7.5531,111.5839,2502,5.33,Rice,4.58,2023
North Sulawesi,4.4287,126.7614,2571,6.52,Coconut,3.86,2018
Papua,-3.8678,140.7898,3816,6.01,Rice,4.74,2018
Central Sulawesi,-0.8912,123.2544,2124,5.92,Corn,4.13,2016
Aceh,4.7934,96.1092,2603,5.8,Coffee,1.34,2017
Riau,0.6163,103.1819,2663,6.0,Rubber,0.92,2022
Bali,-8.3696,114.9733,2214,6.3,Fruit,3.61,2019
West Kalimantan,-1.8094,110.9351,3390,5.43,Palm Oil,3.61,2016
South Sulawesi,-2.9054,119.6349,2136,5.98,Rice,4.97,2015
Southeast Sulawesi,-3.9162,121.8892,1945,5.68,Cashew,0.93,2020
East Nusa Tenggara,-8.586,119.9296,1252,6.27,Corn,3.97,2015
Papua,-3.471,138.3306,4052,4.8,Cassava,8.4,2022
South Sulawesi,-2.4847,121.2175,2337,5.17,Rice,4.74,2017
Special Region of Yogyakarta,-8.0473,110.4161,2605,6.53,Corn,4.42,2020
Maluku,-3.3761,126.3267,3002,5.88,Coconut,4.3,2021
East Kalimantan,1.4481,118.0773,2656,5.43,Palm Oil,3.41,2016
South Sumatra,-3.4396,104.8069,2053,5.56,Rice,4.42,2020
South Sulawesi,-2.6128,121.1339,2149,5.65,Corn,3.95,2023
North Sulawesi,3.6725,125.5013,2888,5.74,Cashew,0.75,2024
North Sumatra,2.1459,99.8492,2394,5.31,Rubber,0.73,2015
Jambi,-1.218,102.5251,2267,5.51,Rubber,0.91,2015
Riau,-0.0099,100.9885,2421,4.92,Palm Oil,3.52,2021
West Java,-6.9355,107.2268,3100,5.99,Rice,4.55,2017
South Sumatra,-3.0722,103.3507,1919,4.8,Rubber,0.79,2022
Papua,-5.2968,138.4006,3505,5.24,Cassava,10.44,2018
South Kalimantan,-2.1995,115.3434,3248,5.75,Rice,3.92,2021
Southeast Sulawesi,-5.2021,122.313,1827,5.43,Cocoa,1.68,2022
Lampung,-4.645,105.0126,2424,6.71,Sugarcane,6.12,2017
East Java,-7.4143,111.6724,2184,5.51,Rice,4.27,2024
Special Region of Yogyakarta,-7.6712,110.4372,2953,6.02,Corn,4.0,2017
Special Region of Yogyakarta,-7.9437,110.5184,2788,6.44,Corn,4.47,2019
Special Region of Yogyakarta,-7.8513,110.5954,2514,6.44,Soybeans,2.33,2019
West Nusa Tenggara,-8.8311,118.0315,1260,5.5,Corn,3.59,2024
North Maluku,-1.7697,125.2873,2749,5.88,Coconut,4.22,2020
East Kalimantan,1.2055,117.1499,3126,4.74,Palm Oil,3.38,2019
Southeast Sulawesi,-5.2357,121.9839,2011,5.59,Rice,5.15,2019
West Sulawesi,-2.2455,119.3094,2458,5.67,Coconut,3.57,2023
Lampung,-4.7666,104.855,2212,5.45,Coffee,1.44,2021
Gorontalo,0.5171,122.867,2103,5.89,Cashew,1.02,2020
Jambi,-2.2216,103.0148,2439,4.87,Rubber,0.91,2019
Bengkulu,-3.3459,102.3059,2313,5.48,Rice,4.53,2018
Bangka-Belitung Islands,-2.8114,108.1836,2122,6.2,Pepper,1.26,2015
South Sulawesi,-2.7824,121.5632,2517,5.13,Cocoa,1.6,2015
East Java,-6.8963,112.3632,2926,5.65,Corn,3.3,2016
West Papua,-1.0182,133.1022,3464,5.31,Sago,13.02,2021
Special Region of Yogyakarta,-7.9499,110.3766,2756,5.52,Rice,5.39,2019
West Sumatra,-0.5147,100.1274,2658,5.5,Rice,4.78,2017
Special Region of Yogyakarta,-7.8872,110.3835,2570,6.66,Soybeans,2.33,2024
East Kalimantan,1.6131,118.0889,2871,4.98,Rubber,1.0,2018
Central Kalimantan,-1.2521,112.5828,3159,5.16,Palm Oil,3.44,2024
Special Region of Yogyakarta,-7.8484,110.1409,2853,6.36,Corn,4.23,2023
West Sulawesi,-3.213,119.2353,1994,5.13,Rice,3.92,2024
West Papua,-2.0287,133.4692,3634,5.27,Sago,12.63,2023
West Java,-6.921,107.0931,2995,5.02,Tea,2.14,2017
North Maluku,0.585,128.0214,3055,5.57,Rice,4.07,2015
Banten,-6.0342,106.3288,2109,5.44,Rice,4.88,2020
South Sumatra,-3.2051,103.7317,2156,5.38,Palm Oil,3.66,2019
South Sulawesi,-5.0568,119.7279,2365,6.24,Corn,4.71,2020
North Maluku,1.1474,128.5864,3061,6.01,Nutmeg,0.88,2015
Bangka-Belitung Islands,-2.8727,107.8008,2216,5.56,Pepper,1.2,2022
Central Kalimantan,-1.9074,113.8272,3064,5.21,Palm Oil,4.14,2015
Southeast Sulawesi,-3.0359,122.0015,2119,5.93,Rice,4.58,2015
Southeast Sulawesi,-4.5355,121.7745,1896,5.93,Rice,4.69,2024
East Java,-7.4381,112.3026,2289,5.56,Tobacco,1.92,2023
West Papua,-0.7826,133.3767,3731,5.66,Cassava,9.53,2019
North Kalimantan,3.2031,116.2505,2824,5.4,Rubber,0.99,2017
East Nusa Tenggara,-8.6815,121.9867,1317,4.83,Cassava,10.37,2023
Lampung,-5.4673,104.7597,1995,5.25,Rice,5.24,2021
South Sulawesi,-5.1741,120.0184,2395,5.81,Cashew,0.88,2018
Central Kalimantan,0.1801,114.6185,2834,5.13,Palm Oil,3.59,2016
Banten,-6.7821,105.3419,2062,5.28,Rice,5.23,2021
West Sumatra,-1.9408,101.0821,2535,4.97,Cinnamon,0.79,2017
Central Kalimantan,-1.6473,115.0232,3048,5.0,Palm Oil,4.08,2020
East Java,-7.9281,113.8687,2402,6.01,Tobacco,1.96,2021
North Maluku,-1.6871,128.0676,2510,5.98,Coconut,3.47,2017
South Sumatra,-3.4569,105.1346,2056,5.14,Palm Oil,3.44,2016
South Sulawesi,-4.3375,119.7983,2262,5.89,Cocoa,1.53,2016
East Nusa Tenggara,-9.6714,123.809,1491,5.8,Corn,4.44,2023
Bengkulu,-3.4909,102.5034,2296,5.3,Coffee,1.46,2018
Central Sulawesi,1.1358,120.9543,2356,5.0,Cocoa,1.67,2024
North Sumatra,1.4889,99.8435,2784,5.05,Rice,4.37,2024
South Sumatra,-2.6325,103.9957,2303,6.11,Rice,5.1,2017
South Sumatra,-2.6336,104.0441,2098,4.92,Palm Oil,3.96,2024
South Sumatra,-2.2337,103.6485,2338,5.08,Palm Oil,4.02,2016
Southeast Sulawesi,-4.6772,121.9571,2144,5.45,Cocoa,1.88,2016
Bengkulu,-3.3212,101.8925,2319,5.27,Coffee,1.62,2020
Riau Islands,-0.1453,104.5974,2444,6.25,Coconut,3.95,2023
Aceh,3.53,97.5406,2750,5.59,Rice,4.57,2024
Gorontalo,0.6112,123.4602,2730,5.97,Corn,3.77,2016
Gorontalo,0.5577,123.035,2444,5.91,Corn,4.14,2023
East Kalimantan,1.2109,116.1667,3237,5.49,Rice,3.78,2016
West Kalimantan,1.057,113.814,3032,5.01,Palm Oil,3.7,2018
Southeast Sulawesi,-4.122,123.1558,1635,5.0,Cocoa,1.29,2024
East Nusa Tenggara,-8.7278,120.7908,1158,5.1,Cocoa,1.63,2024
Central Sulawesi,-1.5431,120.0742,2458,5.76,Cocoa,1.75,2021
Central Sulawesi,-1.3116,121.6664,2560,5.0,Cocoa,1.68,2023
South Sulawesi,-4.6232,119.7252,1980,5.3,Cocoa,1.6,2022
Papua,-3.6457,134.9814,3335,6.28,Rice,3.96,2016
Central Sulawesi,-1.7814,120.5639,2625,5.06,Cocoa,1.59,2021
Lampung,-4.2263,105.3794,1637,6.61,Sugarcane,5.93,2021
Lampung,-4.9754,104.945,1977,6.82,Sugarcane,7.08,2016
West Papua,-2.7848,132.558,3181,5.03,Sago,10.19,2017
North Kalimantan,4.0519,117.1843,2701,5.26,Rubber,0.92,2015
West Papua,-2.6862,134.5051,3409,5.61,Cassava,9.02,2019
West Java,-7.6504,108.3986,2786,5.7,Rice,4.32,2016
West Sumatra,-1.481,100.973,2724,5.05,Cinnamon,0.87,2017
Papua,-5.298,140.7692,3742,5.56,Sweet Potato,14.8,2020
Bengkulu,-3.5719,102.5468,1993,6.13,Rice,4.35,2015
West Sumatra,-1.6861,100.7221,2766,4.63,Cinnamon,0.77,2018
West Kalimantan,-1.1919,110.3738,3505,5.16,Palm Oil,3.76,2021
Bangka-Belitung Islands,-1.8148,105.4527,2305,5.62,Pepper,1.07,2023
Gorontalo,0.5334,122.381,2712,6.38,Cashew,0.87,2018
Gorontalo,0.5927,122.6757,2250,6.49,Corn,4.16,2016
Lampung,-5.3493,104.5904,2069,6.51,Sugarcane,6.34,2023
West Java,-6.8472,106.5103,2795,5.87,Rice,4.3,2024
Lampung,-4.025,105.6051,2211,6.0,Sugarcane,5.97,2019
West Papua,-3.2323,132.6562,3263,4.81,Cassava,8.94,2019
Bengkulu,-3.5988,102.1874,2246,5.82,Coffee,1.56,2018
Bengkulu,-3.7612,102.636,2600,5.77,Rice,4.62,2015
Bali,-8.5528,115.3763,2425,5.3,Coffee,1.15,2019
Jakarta Special Capital Region,-6.2493,106.9439,1439,6.13,Urban Vegetables,4.48,2022
Central Kalimantan,-1.3508,113.9923,3071,5.12,Palm Oil,3.63,2021
Central Java,-7.563,109.5774,2383,5.66,Rice,4.32,2021
South Sumatra,-2.9963,102.6903,1939,5.35,Palm Oil,3.48,2017
South Sumatra,-3.1568,105.9547,2273,5.32,Rice,4.7,2018
West Papua,-2.1535,133.3852,3397,5.16,Cassava,9.41,2016
Jambi,-1.0554,103.8459,2387,5.49,Rubber,0.89,2016
West Papua,-0.4058,132.2534,3297,5.53,Cassava,9.69,2021
South Sulawesi,-4.021,120.2361,2093,5.06,Cocoa,1.69,2019
East Kalimantan,0.2246,117.0852,2763,5.28,Rice,5.1,2023
Central Java,-7.4213,110.8744,2689,5.84,Corn,4.63,2020
West Nusa Tenggara,-8.8229,115.9546,2192,5.76,Rice,3.8,2015
Aceh,4.4007,97.6523,2360,5.56,Rice,5.0,2020
South Sumatra,-3.1885,103.5354,2177,5.13,Palm Oil,3.85,2016
East Java,-7.5229,112.6306,2622,6.46,Corn,4.42,2017
South Sumatra,-3.0594,105.842,2093,4.98,Rubber,0.91,2017
West Java,-6.4694,107.9788,2944,5.01,Rice,4.67,2020
Jambi,-1.3673,102.3026,2096,6.11,Coffee,1.29,2016
Central Java,-7.2704,110.2856,3128,5.67,Rice,4.46,2016
Aceh,2.2907,97.7811,2615,5.64,Rice,4.38,2019
Jambi,-1.6631,104.1464,3015,5.54,Rubber,0.76,2016
East Kalimantan,-0.2505,117.2031,2754,4.78,Rubber,1.03,2024
North Sulawesi,0.8031,123.9477,2178,5.86,Cashew,0.94,2019
East Kalimantan,-0.8688,115.8834,2638,4.68,Rubber,0.97,2022
Jambi,-1.669,101.745,2260,5.13,Coffee,1.33,2021
Papua,-7.6204,138.9527,3937,5.74,Cassava,7.52,2016
East Nusa Tenggara,-9.7328,124.2775,1348,5.94,Cocoa,1.72,2015
Jakarta Special Capital Region,-6.1703,106.8645,1815,6.19,Urban Vegetables,5.29,2016
Papua,-4.9057,140.9396,3899,5.54,Cassava,8.31,2021
Gorontalo,0.4953,123.3382,2092,5.64,Rice,4.11,2016
East Java,-8.2215,113.9416,2312,5.75,Corn,4.23,2024
South Kalimantan,-2.9638,114.6254,3085,5.74,Rubber,0.96,2019
East Nusa Tenggara,-9.9167,123.8998,1070,5.47,Cocoa,1.53,2019
North Kalimantan,1.812,115.597,2559,4.96,Rubber,0.99,2022
South Sumatra,-3.5489,104.6675,2081,4.84,Palm Oil,3.67,2018
Special Region of Yogyakarta,-8.0438,110.4117,2703,5.43,Rice,4.72,2022
East Kalimantan,2.0782,117.6941,2854,5.21,Palm Oil,3.75,2016
North Maluku,-1.7993,125.099,2752,6.23,Coconut,3.59,2015
West Sumatra,-0.7022,100.5192,2584,5.23,Tea,1.84,2015
West Nusa Tenggara,-8.4269,117.1856,1900,5.46,Rice,4.69,2015
Southeast Sulawesi,-3.9207,121.6983,2119,5.58,Cocoa,1.91,2018
West Sumatra,0.4148,99.8191,2326,5.46,Rice,3.87,2024
West Kalimantan,1.3346,109.3694,3067,5.86,Rice,4.61,2018
West Papua,-3.1853,133.9046,3327,4.78,Cassava,9.12,2024
North Kalimantan,2.5038,116.0402,2369,5.14,Rubber,0.94,2021
Jakarta Special Capital Region,-6.1555,106.7234,1851,5.73,Fruit,3.86,2015
North Sulawesi,0.546,123.5797,2607,5.5,Cashew,0.91,2022
Jambi,-1.4946,102.1364,2386,5.34,Rice,4.97,2016
Lampung,-4.4557,104.566,1869,6.46,Sugarcane,6.6,2016
West Kalimantan,0.9787,111.3903,3007,4.95,Palm Oil,3.37,2024
Jambi,-1.941,101.6625,2571,4.68,Rubber,0.89,2023
West Sulawesi,-3.2713,119.4179,2347,5.81,Coconut,3.32,2022
Central Kalimantan,0.3822,114.0287,3095,5.54,Rubber,1.05,2022
Riau,0.2037,102.6044,2085,5.96,Coconut,3.31,2021
South Kalimantan,-2.3165,115.3615,3015,5.09,Rubber,0.91,2020
East Java,-8.1575,111.6092,2574,5.57,Rice,5.18,2015
Aceh,4.6182,96.119,2487,5.3,Coffee,1.52,2023
South Kalimantan,-2.3409,115.6577,3128,5.71,Rice,4.28,2021
Central Java,-7.0452,110.1317,2867,5.61,Rice,4.45,2017
North Kalimantan,2.1581,115.5202,2587,4.96,Palm Oil,3.56,2023
North Maluku,-0.3649,127.2156,2878,5.87,Nutmeg,1.01,2015
West Sumatra,-0.9622,100.7498,2737,5.27,Tea,2.16,2022
Bangka-Belitung Islands,-2.0079,105.8901,2264,5.35,Rice,4.33,2021
Central Sulawesi,-1.3319,122.2305,2640,5.48,Rice,4.21,2018
North Sumatra,1.4006,99.4258,2332,4.55,Rubber,0.73,2023
South Sumatra,-3.9641,103.4563,1825,5.04,Rubber,0.89,2017
South Sulawesi,-4.7621,120.042,2183,5.7,Cocoa,1.89,2021
Riau,-0.729,101.4973,2665,5.18,Rubber,0.99,2015
Southeast Sulawesi,-3.8193,121.4142,2265,5.5,Cashew,0.9,2015
Riau,0.8689,101.4143,2607,6.38,Coconut,3.76,2022
Aceh,5.0651,97.6274,2204,6.39,Corn,4.08,2019
Central Java,-7.587,110.5141,2861,6.31,Sugarcane,7.41,2022
South Sumatra,-2.3746,104.5861,2326,6.23,Rice,4.63,2019
East Nusa Tenggara,-8.7223,122.219,1386,5.47,Cassava,10.03,2017
Special Region of Yogyakarta,-7.8442,110.3404,2608,5.95,Corn,4.13,2020
West Sulawesi,-2.6735,119.0952,2326,5.79,Coconut,3.58,2024
Bali,-8.3433,115.6074,2114,5.58,Rice,5.49,2018
South Sumatra,-4.0759,104.9839,2295,5.35,Palm Oil,4.08,2015
Banten,-6.5511,106.2099,2167,5.75,Corn,3.78,2022
Aceh,3.5295,97.623,2416,5.06,Rice,4.4,2023
Gorontalo,0.5952,122.4678,2211,6.06,Cashew,0.92,2016
East Nusa Tenggara,-10.7716,123.1356,1501,5.02,Cassava,8.42,2019
North Kalimantan,1.8341,115.5442,2873,5.64,Rubber,0.96,2016
South Sumatra,-3.8398,104.7235,2202,5.86,Rice,4.7,2024
Southeast Sulawesi,-3.1084,121.1521,1945,5.58,Cashew,0.96,2016
Special Region of Yogyakarta,-7.6943,110.1812,2344,6.2,Rice,3.97,2015
East Kalimantan,-1.6718,115.8578,2910,5.05,Palm Oil,3.96,2024
Riau,0.7217,100.4111,2655,5.91,Coconut,3.85,2020
East Kalimantan,0.8415,114.3677,3274,5.13,Rubber,0.84,2023
Lampung,-5.5245,104.8577,2021,6.62,Sugarcane,6.81,2017
North Maluku,-0.6216,128.0986,2896,6.02,Nutmeg,0.99,2016
Bangka-Belitung Islands,-2.2881,105.9865,1941,5.29,Rubber,0.96,2017
Bangka-Belitung Islands,-2.9623,107.7294,2476,6.15,Rice,4.2,2015
Gorontalo,0.7195,121.2006,2618,5.65,Cashew,0.92,2019
West Sulawesi,-1.9425,119.6714,2002,6.36,Coconut,3.71,2017
Special Region of Yogyakarta,-7.7241,110.2897,2705,6.51,Corn,4.65,2022
West Java,-7.086,106.644,2661,6.18,Rice,4.11,2018
Special Region of Yogyakarta,-8.0866,110.7565,2656,5.53,Rice,4.51,2024
Special Region of Yogyakarta,-7.6063,110.4539,2497,6.0,Soybeans,2.3,2015
Bali,-8.3337,115.3119,2264,5.72,Coffee,1.42,2020
South Kalimantan,-2.6261,115.039,2627,4.7,Palm Oil,3.31,2023
North Sumatra,2.395,99.3735,2732,5.75,Rubber,0.86,2015
Bali,-8.2008,115.0353,2036,5.5,Fruit,3.77,2024
West Java,-7.1139,107.9031,2947,5.61,Rice,5.46,2021
East Java,-7.1401,111.981,1951,6.15,Corn,3.55,2023
Banten,-6.4093,106.2733,1873,6.01,Corn,3.93,2024
Banten,-6.2317,106.7391,2369,6.04,Rice,4.4,2016
East Java,-7.8049,113.0848,2446,5.41,Rice,4.8,2016
Special Region of Yogyakarta,-7.8309,110.6466,3214,6.22,Corn,4.12,2020
West Papua,-2.2501,133.9946,3502,5.18,Sago,12.7,2018
Aceh,4.0943,97.3064,2539,5.51,Coffee,1.42,2019
Central Kalimantan,-1.1376,111.6447,2885,4.99,Palm Oil,3.74,2020
Lampung,-4.3447,105.7544,1993,5.44,Coffee,1.49,2018
Southeast Sulawesi,-5.3652,121.8599,1957,5.88,Cashew,0.89,2018
Bengkulu,-4.3617,103.0858,2249,5.4,Cinnamon,0.82,2016
North Kalimantan,3.6151,116.4254,2169,6.08,Rice,4.14,2015
Maluku,-3.1976,128.2972,3249,5.73,Coconut,3.5,2018
North Sumatra,2.8232,98.3176,2711,4.84,Palm Oil,3.65,2021
South Sulawesi,-2.9682,119.978,1898,5.0,Cocoa,1.42,2021
Gorontalo,0.4048,123.2962,2047,6.38,Corn,4.02,2023
South Sumatra,-3.933,104.3311,2307,5.18,Rubber,0.87,2024
South Kalimantan,-3.2911,116.0586,3034,5.27,Rice,4.83,2022
Jambi,-1.6362,104.2599,2295,5.7,Rice,4.75,2019
Bangka-Belitung Islands,-1.9266,105.836,1855,5.76,Rice,4.43,2019
Special Region of Yogyakarta,-7.9516,110.2428,2651,5.62,Rice,5.27,2017
North Sumatra,2.3865,98.4274,2942,5.83,Rice,4.26,2016
North Sumatra,0.683,99.2385,2727,5.4,Palm Oil,4.25,2019
Maluku,-3.0808,130.0694,2783,6.68,Coconut,3.17,2015
East Java,-6.8121,111.8139,2618,6.16,Corn,4.33,2015
South Sumatra,-3.383,105.5766,2265,4.67,Rubber,0.96,2019
Central Sulawesi,-0.8441,122.3713,2584,5.99,Corn,4.48,2019
East Kalimantan,1.6268,116.1121,2695,5.46,Palm Oil,3.83,2020
Gorontalo,0.6218,121.8578,2159,5.68,Corn,4.3,2018
West Kalimantan,0.1229,110.1252,2868,5.75,Rice,4.25,2024
South Sumatra,-4.7569,104.2215,1943,5.68,Palm Oil,3.72,2017
Riau,0.694,101.3516,2183,6.81,Coconut,3.41,2019
North Kalimantan,2.6046,117.2845,2742,5.12,Rubber,0.93,2020
Gorontalo,0.6509,121.6165,2191,5.92,Cashew,1.04,2019
Bali,-8.2442,114.7502,2086,6.01,Rice,4.79,2022
Banten,-6.1418,106.351,1962,5.4,Rice,4.89,2023
Jambi,-2.1656,102.336,2327,5.73,Rice,5.16,2015
West Sulawesi,-2.9311,119.2569,2261,5.24,Rice,4.29,2015
Lampung,-5.2007,104.1576,1730,5.97,Rice,4.3,2015
East Kalimantan,-1.1686,116.4112,2814,5.01,Palm Oil,3.83,2024
Central Java,-6.6094,110.7616,2803,5.84,Rice,4.62,2016
Aceh,4.1829,97.1224,2392,5.27,Rice,5.02,2020
Papua,-3.553,137.906,3629,4.82,Sago,11.0,2022
South Sulawesi,-2.6159,120.1594,2221,5.0,Cocoa,1.62,2023
Jakarta Special Capital Region,-6.2843,106.7615,2005,5.89,Fruit,3.69,2020
Special Region of Yogyakarta,-8.0459,110.6057,2742,5.96,Rice,5.31,2023
Southeast Sulawesi,-4.4702,122.9316,2393,5.35,Cocoa,1.48,2024
Bangka-Belitung Islands,-2.7611,106.6342,1691,5.5,Pepper,0.97,2024
Bali,-8.2183,114.5092,1966,5.93,Fruit,4.05,2023
Bangka-Belitung Islands,-2.8944,107.8432,2163,4.58,Rubber,0.95,2024
South Sulawesi,-3.1777,120.0668,2197,5.0,Cocoa,1.84,2022
Jambi,-2.3356,102.1828,2277,5.13,Rice,4.96,2019
Special Region of Yogyakarta,-7.8183,110.1981,2515,5.3,Rice,4.14,2019
East Java,-7.9681,111.312,2304,6.52,Corn,4.39,2020
